"Quantity","LCSC Part Number","Value","Footprint"
"23","C476766","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"3","C965815","5V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"1","C3406","IDC 2x8","IDC-Header_2x08_P2.54mm_Vertical"
